id	actual_rust_callsites	execution_path	ownership_class	expected_phase_sequence	multiplicity	handle_identity_relation	predecessor_reverse_order_constraints	exact_failure_ordinal	required_non_synthetic_probe	current_missing_ids_or_events
RC-ATT-COLLECTION-PASS	pass_attachment internal colorAttachments getter	every pass attachment access	autoreleased/descriptor-owned collection expression	Borrow>LastUse(child lookup)>AliasEnd	1 per child access	collection parent=pass descriptor; child lookup receives exact collection alias; zero native retain	collection ends after indexed child accessor; child alias remains for its authored setter expression	pass_attachment[n]#colorAttachments_getter	actual getter/child failures plus collection and child retain-neutral parent invalidation	CLOSED: independently regraded against pinned source; dedicated scenario asserts the declared identity, multiplicity, order, cleanup, and failure boundary
BG-DICT-DEFINES	NativeCompileIteration::new/define*/finish_options/Drop	actual Apple BackgroundShaderCompiler worker job	strong NSMutableDictionary iteration local	Create>RepeatedLastUse(options setter)>AliveAt(finished push)>Release	1 per job	one mutable local is assigned to MTLCompileOptions; the property-owned copy is not a second local	Release last after options,error,source	bg_job#1_dictionary_new	actual worker success, release worker compile error, synthesized nil library, panic/unwind, and native property-copy probe	CLOSED: Apple has no Rust MacroDictionary mirror; exact local identity, property copy, and reverse teardown are asserted
BG-NS-MACRO-KEY-DYNAMIC	NativeCompileIteration::define_dynamic	actual job requiring dynamic shader-feature macro	autoreleased +0 NSString key	Borrow>LastUse(dictionary set)>AutoreleaseEnd	0_or_many	key pointer passed to dictionary setter; dictionary retains/copies independently	end after setter; dictionary persists	bg_job.dynamic_define[n]#stringWithUTF8String	actual feature job plus direct native pool-scoped text/identity probe	CLOSED: exact three phases, native key text, value-literal identity, and no source-unwritten +1
BG-NS-MACRO-LITERALS	NativeCompileIteration::define_static	actual worker all jobs	immortal NSString literals	Borrow>LastUse(dictionary set)	many exact source-defined calls	literal pointer stable/immortal; dictionary retain irrelevant to lifetime	no release event; all before compile	bg_job.static_define[n]	actual worker exact macro call census plus complete 22-literal native identity census	CLOSED: source calls and complete shared stable literal table are identity-checked
BG-NS-SOURCE	NativeCompileIteration::new/append*/compile/log/Drop	actual Apple worker job	strong iteration NSMutableString local	Create>RepeatedLastUse(compile/log)>AliveAt(finished push)>Release	1 per job	same pointer for assembly, compile, diagnostics	Release after options and NSError; before dictionary	bg_job#2_mutable_source_init	actual worker success/error/nil/panic with compile/log pointer identity	CLOSED: Apple has no Rust String mirror; exact native identity and options>error>source>defines teardown are asserted
BG-NS-APPEND-TEMP	append_raw_source/prefix appendFormat call	actual Apple worker source assembly	borrowed immortal format plus borrowed C-string args	BorrowFormat>LastUse(appendFormat)	exact 1 prefix+N fragment calls	format literal identity; receiver identity must be BG-NS-SOURCE; no new fragment NSString owner	each expression ends before next; source persists	bg_job.append[0..N]#appendFormat	actual worker exact selector count/format/assembled bytes	CLOSED: exact triple-prefix/single-fragment calls, format/source identity relation, and bytes asserted
BG-COMPILE-OPTIONS	NativeCompileIteration::finish_options_values/drop_options/Drop	actual Apple worker job	last-declared strong MTLCompileOptions iteration local	Create>LastUse(newLibrary)>AliveAt(finished push)>Release	1 per job	same native options identity receives authored scalar properties and is passed to compile	Release first, before NSError/source/dict, on success/error/panic	bg_job#after_source_compile_options_new	actual worker success/error/nil plus catch_unwind and native configured-property probe	CLOSED: Apple has no MetalCompileOptions DTO mirror; exact compile identity, liveness, reverse order, and unwind cleanup asserted
BG-ERR-COMPILE	native_new_library_with_source>iteration.error>Drop	actual Apple worker compile error/object+error	strong NSError out-local moved into iteration	Create>TransferToIteration>LastUse(log)>AliveAt(finished push)>Release	0_or_1	same NSError pointer across out-param, iteration, description	options Release before error; error before source	bg_job#newLibraryWithSource_error_out	direct native error plus release worker error and synthesized nil/no-error paths	CLOSED: same NSError identity survives transfer/log/push and releases between options and source
BG-NS-ERR-DESC	MetalCompileError::localized_description	actual worker compile diagnostic	borrowed NSError property result	Borrow>LastUse(log)>ExpressionEnd	0_or_1	description property identity differs from but is tied to live BG-ERR-COMPILE	before NSError release; no independent long owner	bg_job#error_localizedDescription	direct and release-worker error log with borrowed native description identity	CLOSED: exact expression phases, distinct identity, and predecessor to NSError release asserted
BG-LIB-COMPILED	native_new_library_with_source>BackgroundCompileJob>take_compiled_library_raw>adopt	actual worker success and queue movement	new-family +1 moved through job/member	Create>TransferJob>TransferFinished>TransferCaller>AdoptContext>ReleaseContext	1 per successful job	native pointer identical across all transfers; no extra retain	all transfers precede iteration-local teardown; final release at context/pipeline cache drop	bg_job#newLibraryWithSource_object	actual pending>worker>finished>pop>raw caller>Objc2 context adopt>release	CLOSED: one native identity is asserted through every transfer and final context retirement
BG-GPU-MEMBER	MetalDeviceOwner::new>BackgroundShaderCompilerOwner Drop	actual compiler construction/worker shutdown	persistent strong member	Create>RepeatedBorrow(worker)>ShutdownJoin>Release	1 per compiler	same device pointer worker compile uses	Release after quit unlock/notify and join; after other derived members in exact order	background_compiler#device_member_retain	actual worker running while owner drops plus native retain-count observer	CLOSED: same device identity, worker borrow, shutdown/join predecessor, and final +1 release asserted
RC-STATIC-NS-LITERALS	SOURCE_STATIC_FUNCTION_NAMES; static_nsstring_literals_have_an_exact_owner_free_source_census; static_function_literals_are_stable_immortal_borrows_outside_the_registry	Color/Tessellate/Feather fill+stroke/specialized Draw newFunctionWithName paths	immortal NSString/static text	Borrow>LastUse	10 scenario occurrences; 9 exact identities	stable immortal pointer identity; never registry-owned and never retired	all literal uses remain StaticText; no Create/Release or transient NSString registry entry	newFunctionWithName:[1..10]	actual source pipeline paths plus native ns_string pointer/retain/registry probe	CLOSED: exact source census, all selector failure ordinals, stable native identity, zero retain delta, and zero transient-owner entries asserted
EXCL-OBJCPARAMS	objective_c_parameters_remain_caller_owned_across_representative_source_calls; objc_parameter_projection_is_retain_neutral_for_every_object_family	actual device/library/descriptor/function/pipeline/encoder parameter calls and native projections	borrowed parameter exclusion	BorrowOnly	6 source parameters; 4 native object families	callee sees exact caller alias/native pointer; retain count and registry slot count unchanged	callee emits no Create/Release/clone/retire; caller scope remains authority	none	actual representative source calls plus native device/library/descriptor/encoder retain probes	CLOSED: source call arguments, no clone/retire events, native pointer identity, and zero retain delta asserted
EXCL-CPP-OWNERS	cpp_owners_are_bound_to_the_intrusive_box_and_raw_pointer_ledger; canonical header ownership/drop suite	actual rcp clone/drop, pinned Box address, and raw RenderBuffer/DrawBatch borrow paths	out-of-ledger C++ owner exclusion	SeparateLedger	8 core type categories; 11 with RenderCanvas feature	identity governed by intrusive count, stable pinned Box address, or retain-neutral raw pointer	must not enter ObjC/dispatch events; rcp/Box Drop owns destruction and raw pointers remain nonowning	none	actual RenderCanvas/image/texture/target/buffer type inventory, intrusive refcount transition, pinned address, raw RTTI borrow, and canonical reverse-drop suite	CLOSED: cross-ledger type/drop inventory and runtime intrusive/boxed/raw ownership witnesses asserted
LEDGER-GATE	production owner event streams plus checked-in expectation table	constructor+resize+canvas+texture+mip+flush+postFlush+presentation+BG worker+drop/exclusions	meta evidence contract	LoadExpectations>ExecutePaths>MatchOrderedEvents>InjectEachFailure>AssertZeroTransient	79 rows exactly	one expectation row per ID; actual event identities satisfy declared relations	all predecessor constraints and reverse orders checked; no self-satisfying lifecycle row	none	read machine table/check hash; execute real paths including Apple BG and product presentation; mutation tests prove sensitivity	CLOSED: all 78 concrete rows are independently regraded and bound to dedicated mutation-sensitive scenarios; aggregate base/ORE gates and the native mechanical suite are green
